id,status_update,created_by,created_time,media_url,posted_ip,privacy_settings,post_status
1,"In his last official act of business in 2011, President Barack Obama signed the National Defense Authorization Act from his vacation rental in Kailua, Hawaii. In a statement, the president said he did so with reservations about key provisions in the law — including a controversial component that wou...",136,2021-05-12T18:21:03Z,http://dummyimage.com/834x426.png/ff4444/ffffff,1.134.11.131,anyone,deleted
2,The wishes of thousands of people will flutter down from New York City’s buildings and descend on Times Square when the iconic ball drops tomorrow...,568,2021-04-04T05:44:55Z,http://dummyimage.com/1075x1333.png/cc0000/ffffff,140.143.224.55,friends,active
3,"Eric Gay/AP Photo SIOUX CITY, Iowa – Mitt Romney explicitly stated today that if he is elected president he would veto the Dream Act, legislation that would give permanent residency to some illegal immigrants who met certain criteria, such as having proof that they entered the country before age 16 ...",538,2021-07-15T01:22:44Z,http://dummyimage.com/1975x1045.png/5fa2dd/ffffff,174.208.199.212,anyone,active
4,"A shootout at a suburban New York family pharmacy left a suspected robber and an off-duty federal agent dead in a confused shootout that took place as the robber fled, authorities said. Charlie's Pharmacy in Seaford, Long Island, N.Y. was held up by a man seeking prescription medication this afterno...",471,2020-12-24T12:56:30Z,http://dummyimage.com/150x144.png/ff4444/ffffff,142.16.5.127,friends,draft
5,"Around the world, countries celebrate the new year.",928,2020-11-14T14:37:07Z,http://dummyimage.com/119x253.png/cc0000/ffffff,174.216.153.80,me,active
6,"A magnitude 7.0 earthquake hits eastern Japan, no danger of a tsunami",434,2020-09-01T11:30:41Z,http://dummyimage.com/291x1685.png/dddddd/000000,209.237.11.183,anyone,draft
7,"Samsung Electronics, Sharp, Epson Imaging Devices, and four other electronics manufacturers based in Asia agreed to a $553 million settlement with...",7,2021-01-11T00:42:59Z,http://dummyimage.com/1766x1312.png/ff4444/ffffff,144.215.14.230,anyone,deleted
8,"The average U.S. adult weighs significantly more today than a few decades ago, prompting the U.S. Coast Guard to implement nationwide regulations...",648,2021-06-22T20:49:18Z,http://dummyimage.com/1364x1616.png/ff4444/ffffff,102.198.72.239,me,active
9,The World Health Organization (WHO) says it is “deeply concerned” about researchers creating a more contagious and fatal form of the H5N1 bird flu.,257,2021-03-06T05:00:11Z,http://dummyimage.com/251x977.png/cc0000/ffffff,158.130.229.126,friends,active
10,"For the second year in a row, blackbirds fell from the sky in small town.",668,2021-06-11T01:33:14Z,http://dummyimage.com/841x1616.png/cc0000/ffffff,127.104.93.226,anyone,active
11,"Woman's notes charged NY State Sen. Ball, Rep. Peter King with anti-Muslim bias.",25,2020-12-02T18:32:24Z,http://dummyimage.com/1213x1775.png/dddddd/000000,249.182.24.162,anyone,active
12,An Arizona couple has been arrested for allegedly posting photos of their two young children bound by duct tape.,289,2021-01-30T10:20:37Z,,205.168.250.164,friends,draft
13,"(The News Tribune, Dean J. Koepfler/AP Photo) The person of interest identified in the killing of a Mount Rainier National Park ranger today is believed to have military experience and survivalist skills, and may have been involved in a shooting earlier in the day that left four wounded in Skyway, W...",129,2021-07-20T10:29:05Z,http://dummyimage.com/1650x133.png/5fa2dd/ffffff,129.162.200.166,friends,draft
14,2012 will be full of ups and downs for air travelers.,709,2020-12-11T01:31:04Z,,116.157.226.151,me,active
15,"Gen X'ers are accomplishing stuff, yet America couldn’t care less. So what will be their legacy?",15,2021-01-31T18:26:13Z,,165.195.128.80,me,draft
16,"The record-setting deportation of illegal immigrants under President Obama has drawn scorn from Hispanic Americans, despite recent administration...",287,2020-12-22T22:25:06Z,http://dummyimage.com/1890x547.png/cc0000/ffffff,39.199.199.62,friends,draft
17,"Police release surveillance video, have 'person of interest' in arson fires.",375,2021-01-24T04:09:47Z,http://dummyimage.com/594x854.png/dddddd/000000,97.237.142.137,anyone,deleted
18,"Critics say Georgia's obesity campaign sparks fear, not motivation.",886,2021-03-16T21:33:57Z,http://dummyimage.com/1656x1810.png/dddddd/000000,122.45.143.216,friends,draft
19,"Acid reflux rates parallel obesity epidemic, experts say.",911,2021-03-30T23:17:42Z,http://dummyimage.com/1455x1347.png/ff4444/ffffff,154.140.255.57,friends,active
20,"The outreach director of the Suncoast Primate Sanctuary in Florida said the chimp was 80 years old when he died on Christmas Eve. Not possible,...",502,2020-10-21T16:53:48Z,,252.172.194.36,anyone,active
21,"Caucus time is upon us, and on Tuesday more than 100,000 Iowans will trek to their local schools, churches and community centers to kick off the GOP presidential campaign in earnest, defining the early shape of the campaign and producing 2012′s first round of winners and losers. The latest major pol...",703,2021-05-14T19:13:24Z,http://dummyimage.com/467x169.png/ff4444/ffffff,129.174.30.122,anyone,draft
22,Rick Santorum’s top opponent in Iowa is Mitt Romney and Santorum's biggest argument against a President Romney is health care.,890,2021-02-27T16:27:58Z,http://dummyimage.com/1494x1581.png/cc0000/ffffff,52.211.58.179,anyone,active
23,"What do men’s magazines and convicted rapists have in common? How they describe women, a British study has found.",654,2020-12-26T05:37:01Z,http://dummyimage.com/973x584.png/ff4444/ffffff,86.250.5.29,me,deleted
24,"Apparent murder-suicide claims lives of two Navy pilots, sister, unknown man.",819,2021-01-15T02:53:17Z,http://dummyimage.com/942x854.png/5fa2dd/ffffff,224.74.99.10,anyone,deleted
25,"When caucusgoers show up tonight, what will they actually vote for? And how do the caucuses work?",181,2021-02-07T23:49:25Z,http://dummyimage.com/448x1845.png/ff4444/ffffff,124.16.42.252,anyone,active
26,A contentious relationship between drug manufacturers and the Drug Enforcement Agency may cause a continuing shortage of the attention deficit medication Adderall.,838,2020-10-25T01:05:19Z,,48.85.225.77,friends,active
27,"We’re journalists, not prognosticators. But in this business, sometimes it is just an irresistible conversation line to turn to each other and ask, ‘so, what do you think is really going to happen?’",881,2021-04-02T10:43:34Z,http://dummyimage.com/1629x615.png/dddddd/000000,3.81.252.62,friends,active
28,Iowa caucuses began at 8 pm EST.,430,2020-12-16T11:21:28Z,http://dummyimage.com/1567x1021.png/cc0000/ffffff,178.98.200.109,friends,deleted
29,"The first “entrance” polls are in from the Iowa caucuses, and they show that among the top tier of candidates, Mitt Romney is viewed as the most electable, Ron Paul is winning independents, and Rick Santorum is a favorite among voters who say they’re very conservative.",220,2021-08-05T15:10:19Z,http://dummyimage.com/277x1502.png/cc0000/ffffff,255.67.82.150,friends,deleted
31,Ron Paul in strong third place finish.,203,2021-04-10T17:50:47Z,http://dummyimage.com/885x345.png/ff4444/ffffff,69.124.19.26,anyone,active
